Category,Maricopa
Total_doses_administered,3450107
Total_people_one_dose,1950404
Total_people_complete,1702460
Total_doses_ordered,1741330
total_pouluation,4367835
Male-65 years and older,209867
Male-55-64 years,137004
Male-45-54 years,138259
Male-20-44 years,330241
Male-Less than 20 years,92972
Female-65 years and older,267334
Female-55-64 years,157668
Female-45-54 years,152422
Female-20-44 years,357322
Female-Less than 20 years,95278
"American Indian or Alaska Native, non-Hispanic",42250
"Black or African American, non-Hispanic",76526
"Asian or Pacific Islander, non-Hispanic",87368
Unknown,188172
Other Race,299746
Hispanic or Latino,360537
"White, non-Hispanic",895805
