Category,Cochise
Total_doses_administered,129074
Total_people_one_dose,71966
Total_people_complete,63378
Total_doses_ordered,94500
total_pouluation,130808
Male-65 years and older,11090
Male-55-64 years,5356
Male-45-54 years,4014
Male-20-44 years,10630
Male-Less than 20 years,3028
Female-65 years and older,13119
Female-55-64 years,6456
Female-45-54 years,4575
Female-20-44 years,10529
Female-Less than 20 years,3076
"American Indian or Alaska Native, non-Hispanic",348
"Asian or Pacific Islander, non-Hispanic",1359
"Black or African American, non-Hispanic",1380
Unknown,9691
Other Race,10890
Hispanic or Latino,17615
"White, non-Hispanic",30683
