Category,Navajo
Total_doses_administered,82838
Total_people_one_dose,46585
Total_people_complete,39469
Total_doses_ordered,44905
total_pouluation,112825
Male-65 years and older,7407
Male-55-64 years,3772
Male-45-54 years,2730
Male-20-44 years,5831
Male-Less than 20 years,3280
Female-65 years and older,8134
Female-55-64 years,4061
Female-45-54 years,2708
Female-20-44 years,5202
Female-Less than 20 years,3424
"Black or African American, non-Hispanic",243
"Asian or Pacific Islander, non-Hispanic",431
Hispanic or Latino,2437
Unknown,2500
Other Race,8752
"White, non-Hispanic",15868
"American Indian or Alaska Native, non-Hispanic",16354
