Category,La Paz
Total_doses_administered,16640
Total_people_one_dose,8505
Total_people_complete,7382
total_pouluation,8505
Male-65 years and older,2316
Male-55-64 years,591
Male-45-54 years,314
Male-20-44 years,645
Male-Less than 20 years,306
Female-65 years and older,2353
Female-55-64 years,705
Female-45-54 years,362
Female-20-44 years,573
Female-Less than 20 years,322
"Black or African American, non-Hispanic",37
"Asian or Pacific Islander, non-Hispanic",87
"American Indian or Alaska Native, non-Hispanic",476
Other Race,1125
Hispanic or Latino,1249
Unknown,1751
"White, non-Hispanic",3780
