Category,Navajo
Total_doses_administered,90857
Total_people_one_dose,46462
Total_people_complete,39003
total_pouluation,46462
Male-65 years and older,7112
Male-55-64 years,3455
Male-45-54 years,2571
Male-20-44 years,5511
Male-Less than 20 years,3884
Female-65 years and older,7995
Female-55-64 years,3974
Female-45-54 years,2577
Female-20-44 years,5368
Female-Less than 20 years,3980
"Black or African American, non-Hispanic",194
"Asian or Pacific Islander, non-Hispanic",338
Unknown,2132
Hispanic or Latino,2359
Other Race,6129
"White, non-Hispanic",15618
"American Indian or Alaska Native, non-Hispanic",19692
