Category,Apache
Total_doses_administered,44490
Total_people_one_dose,24552
Total_people_complete,17198
total_pouluation,24552
Male-65 years and older,2453
Male-55-64 years,1696
Male-45-54 years,1306
Male-20-44 years,3036
Male-Less than 20 years,3502
Female-65 years and older,2909
Female-55-64 years,1837
Female-45-54 years,1325
Female-20-44 years,2897
Female-Less than 20 years,3583
"Black or African American, non-Hispanic",50
"Asian or Pacific Islander, non-Hispanic",112
Hispanic or Latino,523
Other Race,1042
Unknown,1084
"White, non-Hispanic",3513
"American Indian or Alaska Native, non-Hispanic",18228
