Category,Cochise
Total_doses_administered,147709
Total_people_one_dose,76469
Total_people_complete,65170
total_pouluation,76469
Male-65 years and older,10857
Male-55-64 years,5285
Male-45-54 years,4126
Male-20-44 years,11139
Male-Less than 20 years,4588
Female-65 years and older,12823
Female-55-64 years,6329
Female-45-54 years,4643
Female-20-44 years,11730
Female-Less than 20 years,4850
"American Indian or Alaska Native, non-Hispanic",340
"Asian or Pacific Islander, non-Hispanic",1408
"Black or African American, non-Hispanic",1504
Unknown,8915
Other Race,11518
Hispanic or Latino,20627
"White, non-Hispanic",32157
