Category,Yavapai
Total_doses_administered,227656
Total_people_one_dose,113909
Total_people_complete,96697
total_pouluation,113909
Male-65 years and older,25207
Male-55-64 years,8943
Male-45-54 years,4906
Male-20-44 years,9883
Male-Less than 20 years,2654
Female-65 years and older,30949
Female-55-64 years,11351
Female-45-54 years,5853
Female-20-44 years,10088
Female-Less than 20 years,2927
"Black or African American, non-Hispanic",525
"Asian or Pacific Islander, non-Hispanic",1357
"American Indian or Alaska Native, non-Hispanic",1376
Hispanic or Latino,7719
Other Race,16763
Unknown,19475
"White, non-Hispanic",66694
