Category,Coconino
Total_doses_administered,187475
Total_people_one_dose,91535
Total_people_complete,80545
total_pouluation,91535
Male-65 years and older,9213
Male-55-64 years,6197
Male-45-54 years,5666
Male-20-44 years,16709
Male-Less than 20 years,5492
Female-65 years and older,10410
Female-55-64 years,7012
Female-45-54 years,5776
Female-20-44 years,19028
Female-Less than 20 years,5770
"Black or African American, non-Hispanic",755
"Asian or Pacific Islander, non-Hispanic",1529
Hispanic or Latino,6800
Other Race,8411
Unknown,12922
"American Indian or Alaska Native, non-Hispanic",21626
"White, non-Hispanic",39492
