Category,Gila
Total_doses_administered,52078
Total_people_one_dose,25423
Total_people_complete,22602
total_pouluation,25423
Male-65 years and older,5697
Male-55-64 years,2196
Male-45-54 years,1236
Male-20-44 years,2339
Male-Less than 20 years,653
Female-65 years and older,6117
Female-55-64 years,2564
Female-45-54 years,1378
Female-20-44 years,2473
Female-Less than 20 years,712
"Black or African American, non-Hispanic",87
"Asian or Pacific Islander, non-Hispanic",198
Hispanic or Latino,1380
"American Indian or Alaska Native, non-Hispanic",2587
Other Race,4002
Unknown,4558
"White, non-Hispanic",12611
