Category,Mohave
Total_doses_administered,170809
Total_people_one_dose,87148
Total_people_complete,74683
total_pouluation,87148
Male-65 years and older,20165
Male-55-64 years,7987
Male-45-54 years,4147
Male-20-44 years,7226
Male-Less than 20 years,1647
Female-65 years and older,22513
Female-55-64 years,9353
Female-45-54 years,4712
Female-20-44 years,7361
Female-Less than 20 years,1862
"Black or African American, non-Hispanic",582
"American Indian or Alaska Native, non-Hispanic",691
"Asian or Pacific Islander, non-Hispanic",1295
Hispanic or Latino,6806
Unknown,11411
Other Race,14039
"White, non-Hispanic",52324
