Category,Arizona
Total_doses_administered,8905963
Total_people_complete,420335
total_pouluation,7189020
Total_people_one_dose,4459907
Male-65 years and older,550253
Male-55-64 years,319640
Male-45-54 years,288800
Male-20-44 years,713870
Male-Less than 20 years,233027
Female-65 years and older,671579
Female-55-64 years,364407
Female-45-54 years,311896
Female-20-44 years,746062
Female-Less than 20 years,240647
"Black or African American, non-Hispanic",134133
"Asian or Pacific Islander, non-Hispanic",169294
"American Indian or Alaska Native, non-Hispanic",183120
Unknown,408118
Other Race,647749
Hispanic or Latino,812025
"White, non-Hispanic",2105468
