Category,Greenlee
Total_doses_administered,8485
Total_people_one_dose,4168
Total_people_complete,3674
total_pouluation,4168
Male-65 years and older,505
Male-55-64 years,369
Male-45-54 years,321
Male-20-44 years,763
Male-Less than 20 years,167
Female-65 years and older,506
Female-55-64 years,316
Female-45-54 years,319
Female-20-44 years,734
Female-Less than 20 years,166
"Asian or Pacific Islander, non-Hispanic",42
"Black or African American, non-Hispanic",44
Other Race,83
"American Indian or Alaska Native, non-Hispanic",111
Unknown,292
"White, non-Hispanic",1726
Hispanic or Latino,1870
