Category,Graham
Total_doses_administered,40631
Total_people_one_dose,20366
Total_people_complete,18184
total_pouluation,20366
Male-65 years and older,2359
Male-55-64 years,1555
Male-45-54 years,1413
Male-20-44 years,3492
Male-Less than 20 years,1006
Female-65 years and older,2851
Female-55-64 years,1699
Female-45-54 years,1378
Female-20-44 years,3498
Female-Less than 20 years,1103
"Asian or Pacific Islander, non-Hispanic",80
"Black or African American, non-Hispanic",88
Other Race,1273
Hispanic or Latino,3598
Unknown,3979
"American Indian or Alaska Native, non-Hispanic",5055
"White, non-Hispanic",6293
