Category,Santa Cruz
Total_doses_administered,99047
Total_people_one_dose,52216
Total_people_complete,43305
total_pouluation,52216
Male-65 years and older,4551
Male-55-64 years,3161
Male-45-54 years,3286
Male-20-44 years,8771
Male-Less than 20 years,5326
Female-65 years and older,5483
Female-55-64 years,3418
Female-45-54 years,3545
Female-20-44 years,8972
Female-Less than 20 years,5626
"Black or African American, non-Hispanic",53
"American Indian or Alaska Native, non-Hispanic",56
"Asian or Pacific Islander, non-Hispanic",183
Unknown,3288
Other Race,3393
"White, non-Hispanic",7303
Hispanic or Latino,37940
