Category,Pinal
Total_doses_administered,328113
Total_people_one_dose,187572
Total_people_complete,166070
Total_doses_ordered,199932
total_pouluation,455210
Male-65 years and older,30323
Male-55-64 years,14173
Male-45-54 years,13328
Male-20-44 years,31825
Male-Less than 20 years,6294
Female-65 years and older,34771
Female-55-64 years,15055
Female-45-54 years,11934
Female-20-44 years,23060
Female-Less than 20 years,6215
"Asian or Pacific Islander, non-Hispanic",3356
"Black or African American, non-Hispanic",5426
"American Indian or Alaska Native, non-Hispanic",9008
Other Race,20173
Hispanic or Latino,30035
Unknown,37874
"White, non-Hispanic",81700
