Category,Coconino
Total_doses_administered,154375
Total_people_one_dose,84641
Total_people_complete,76002
Total_doses_ordered,97548
total_pouluation,147275
Male-65 years and older,7916
Male-55-64 years,6128
Male-45-54 years,5539
Male-20-44 years,16856
Male-Less than 20 years,3316
Female-65 years and older,8994
Female-55-64 years,6835
Female-45-54 years,5649
Female-20-44 years,19316
Female-Less than 20 years,4006
"Black or African American, non-Hispanic",633
"Asian or Pacific Islander, non-Hispanic",1284
Hispanic or Latino,6125
Other Race,9803
Unknown,17046
"American Indian or Alaska Native, non-Hispanic",17721
"White, non-Hispanic",32029
