Category,La Paz
Total_doses_administered,18073
Total_people_one_dose,9967
Total_people_complete,8875
Total_doses_ordered,19000
total_pouluation,22085
Male-65 years and older,3170
Male-55-64 years,699
Male-45-54 years,339
Male-20-44 years,597
Male-Less than 20 years,166
Female-65 years and older,3068
Female-55-64 years,864
Female-45-54 years,363
Female-20-44 years,504
Female-Less than 20 years,175
"Black or African American, non-Hispanic",33
"Asian or Pacific Islander, non-Hispanic",78
"American Indian or Alaska Native, non-Hispanic",225
Hispanic or Latino,1096
Other Race,1148
Unknown,2670
"White, non-Hispanic",4717
