Category,Maricopa
Total_doses_administered,3195896
Total_people_one_dose,1817146
Total_people_complete,1573904
Total_doses_ordered,1659789
total_pouluation,4367835
Male-65 years and older,185945
Male-55-64 years,131032
Male-45-54 years,131699
Male-20-44 years,309418
Male-Less than 20 years,86564
Female-65 years and older,240481
Female-55-64 years,150798
Female-45-54 years,145433
Female-20-44 years,334993
Female-Less than 20 years,88928
"American Indian or Alaska Native, non-Hispanic",38813
"Black or African American, non-Hispanic",70745
"Asian or Pacific Islander, non-Hispanic",83494
Unknown,178690
Other Race,278869
Hispanic or Latino,336506
"White, non-Hispanic",830029
