Category,Apache
Total_doses_administered,34177
Total_people_one_dose,19138
Total_people_complete,12698
Total_doses_ordered,16800
total_pouluation,71808
Male-65 years and older,1985
Male-55-64 years,1334
Male-45-54 years,1055
Male-20-44 years,2582
Male-Less than 20 years,2553
Female-65 years and older,2096
Female-55-64 years,1458
Female-45-54 years,1059
Female-20-44 years,2370
Female-Less than 20 years,2636
"Asian or Pacific Islander, non-Hispanic",171
"Black or African American, non-Hispanic",293
Unknown,1042
Other Race,1305
Hispanic or Latino,1905
"White, non-Hispanic",3348
"American Indian or Alaska Native, non-Hispanic",11074
