Category,Navajo
Total_doses_administered,78903
Total_people_one_dose,44395
Total_people_complete,37648
Total_doses_ordered,44200
total_pouluation,112825
Male-65 years and older,7048
Male-55-64 years,3666
Male-45-54 years,2610
Male-20-44 years,5502
Male-Less than 20 years,3129
Female-65 years and older,7743
Female-55-64 years,3923
Female-45-54 years,2621
Female-20-44 years,4870
Female-Less than 20 years,3248
"Black or African American, non-Hispanic",228
"Asian or Pacific Islander, non-Hispanic",425
Unknown,2251
Hispanic or Latino,2326
Other Race,8466
"White, non-Hispanic",15020
"American Indian or Alaska Native, non-Hispanic",15679
