Category,Santa Cruz
Total_doses_administered,72472
Total_people_one_dose,40422
Total_people_complete,36226
Total_doses_ordered,49312
total_pouluation,53161
Male-65 years and older,3649
Male-55-64 years,2668
Male-45-54 years,3118
Male-20-44 years,8000
Male-Less than 20 years,2707
Female-65 years and older,4420
Female-55-64 years,2702
Female-45-54 years,2964
Female-20-44 years,7389
Female-Less than 20 years,2735
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",99
Other Race,2064
Unknown,2367
"White, non-Hispanic",4901
Hispanic or Latino,30937
