Category,Cochise
Total_doses_administered,124500
Total_people_one_dose,69716
Total_people_complete,61403
Total_doses_ordered,90990
total_pouluation,130808
Male-65 years and older,10863
Male-55-64 years,5267
Male-45-54 years,3874
Male-20-44 years,10106
Male-Less than 20 years,2857
Female-65 years and older,12870
Female-55-64 years,6340
Female-45-54 years,4428
Female-20-44 years,10103
Female-Less than 20 years,2916
"American Indian or Alaska Native, non-Hispanic",334
"Black or African American, non-Hispanic",1324
"Asian or Pacific Islander, non-Hispanic",1327
Unknown,9378
Other Race,10577
Hispanic or Latino,16998
"White, non-Hispanic",29778
