,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,3358642,924809,13019,55927,93677,32764,11298,7000,10778,1235612,67337,33072,464161,142276,26745,113233,90445
Total_people_one_dose,2124243,604513,7698,37031,55262,20180,6998,3987,6766,774113,45765,21268,300311,91870,17562,68979,61940
Total_people_complete,1322439,,,,,,,,,,,,,,,,
Total_doses_ordered,3198240,,,,,,,,,,,,,,,,
65 years and older,518947,,,,,,,,,,,,,,,,
55-64 years,233676,,,,,,,,,,,,,,,,
45-54 years,136516,,,,,,,,,,,,,,,,
20-44 years,279131,,,,,,,,,,,,,,,,
Less than 20 years,18792,,,,,,,,,,,,,,,,
65 years and older,17562,,,,,,,,,,,,,,,,
55-64 years,186835,,,,,,,,,,,,,,,,
45-54 years,104771,,,,,,,,,,,,,,,,
20-44 years,209158,,,,,,,,,,,,,,,,
Less than 20 years,14291,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",40610,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",55893,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",65893,,,,,,,,,,,,,,,,
Hispanic or Latino,216454,,,,,,,,,,,,,,,,
"Unknown, non-Hispanic",306336,,,,,,,,,,,,,,,,
"Other Race, non-Hispanic",387526,,,,,,,,,,,,,,,,
"White, non-Hispanic",1051684,,,,,,,,,,,,,,,,
