,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,5124694,1473916,15989,86550,121717,44390,16328,7917,15004,1874349,110569,43600,687993,213167,44766,156457,141941
Total_people_one_dose,2959374,821552,9159,51296,67352,24755,9404,4519,8503,1137755,67069,25892,402679,127740,26961,91521,83217
Total_people_complete,2329956,,,,,,,,,,,,,,,,
Total_doses_ordered,4896780,,,,,,,,,,,,,,,,
65 years and older,578288,,,,,,,,,,,,,,,,
55-64 years,291994,,,,,,,,,,,,,,,,
45-54 years,217282,,,,,,,,,,,,,,,,
20-44 years,457960,,,,,,,,,,,,,,,,
Less than 20 years,51907,,,,,,,,,,,,,,,,
65 years and older,8503,,,,,,,,,,,,,,,,
55-64 years,243701,,,,,,,,,,,,,,,,
45-54 years,189103,,,,,,,,,,,,,,,,
20-44 years,409988,,,,,,,,,,,,,,,,
Less than 20 years,44733,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",66700,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",71341,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",109149,,,,,,,,,,,,,,,,
Hispanic or Latino,381866,,,,,,,,,,,,,,,,
Unknown,403403,,,,,,,,,,,,,,,,
Other Race,504811,,,,,,,,,,,,,,,,
"White, non-Hispanic",1422104,,,,,,,,,,,,,,,,
