Category,Gila
Total_doses_administered,44441
Total_people_one_dose,24786
Total_people_complete,21392
Total_doses_ordered,34400
total_pouluation,55159
Male-65 years and older,5378
Male-55-64 years,2317
Male-45-54 years,1366
Male-20-44 years,2529
Male-Less than 20 years,243
Female-65 years and older,5752
Female-55-64 years,2663
Female-45-54 years,1500
Female-20-44 years,2681
Female-Less than 20 years,298
"Black or African American, non-Hispanic",0.0026627935124667
"Asian or Pacific Islander, non-Hispanic",0.0069394012749133
Hispanic or Latino,0.0405874283869927
Other Race,0.1318486242233519
"American Indian or Alaska Native, non-Hispanic",0.1828451545227144
Unknown,0.3122730573710966
"White, non-Hispanic",0.3228435407084645
