Category,Greenlee
Total_doses_administered,7919
Total_people_one_dose,4520
Total_people_complete,3882
Total_doses_ordered,9800
total_pouluation,10375
Male-65 years and older,522
Male-55-64 years,567
Male-45-54 years,461
Male-20-44 years,928
Male-Less than 20 years,40
Female-65 years and older,506
Female-55-64 years,403
Female-45-54 years,360
Female-20-44 years,693
Female-Less than 20 years,38
"Black or African American, non-Hispanic",0.0092920353982301
"Asian or Pacific Islander, non-Hispanic",0.0099557522123894
"American Indian or Alaska Native, non-Hispanic",0.0161504424778761
Other Race,0.0179203539823009
Unknown,0.095353982300885
"White, non-Hispanic",0.4099557522123894
Hispanic or Latino,0.4413716814159292
