Category,Greenlee
Total_doses_administered,7742
Total_people_one_dose,4061
Total_people_complete,3537
total_pouluation,4061
Male-65 years and older,495
Male-55-64 years,372
Male-45-54 years,311
Male-20-44 years,753
Male-Less than 20 years,143
Female-65 years and older,495
Female-55-64 years,315
Female-45-54 years,314
Female-20-44 years,714
Female-Less than 20 years,147
"Black or African American, non-Hispanic",40
"Asian or Pacific Islander, non-Hispanic",40
"American Indian or Alaska Native, non-Hispanic",98
Other Race,109
Unknown,305
"White, non-Hispanic",1654
Hispanic or Latino,1815
