Category,Coconino
Total_doses_administered,165770
Total_people_one_dose,86231
Total_people_complete,77465
total_pouluation,86231
Male-65 years and older,8875
Male-55-64 years,6022
Male-45-54 years,5494
Male-20-44 years,16082
Male-Less than 20 years,4154
Female-65 years and older,10089
Female-55-64 years,6827
Female-45-54 years,5634
Female-20-44 years,18342
Female-Less than 20 years,4457
"Black or African American, non-Hispanic",657
"Asian or Pacific Islander, non-Hispanic",1388
Hispanic or Latino,6194
Other Race,10561
Unknown,15232
"American Indian or Alaska Native, non-Hispanic",18819
"White, non-Hispanic",33380
