Category,Mohave
Total_doses_administered,151941
Total_people_one_dose,83178
Total_people_complete,70369
total_pouluation,83178
Male-65 years and older,19150
Male-55-64 years,7734
Male-45-54 years,3990
Male-20-44 years,6860
Male-Less than 20 years,1430
Female-65 years and older,21652
Female-55-64 years,9111
Female-45-54 years,4521
Female-20-44 years,6946
Female-Less than 20 years,1611
"Black or African American, non-Hispanic",515
"American Indian or Alaska Native, non-Hispanic",611
"Asian or Pacific Islander, non-Hispanic",1185
Hispanic or Latino,6379
Unknown,13017
Other Race,14953
"White, non-Hispanic",46518
