Category,Yuma
Total_doses_administered,252487
Total_people_one_dose,136107
Total_people_complete,117665
total_pouluation,136107
Male-65 years and older,14693
Male-55-64 years,9599
Male-45-54 years,8588
Male-20-44 years,25353
Male-Less than 20 years,7900
Female-65 years and older,17215
Female-55-64 years,10278
Female-45-54 years,9470
Female-20-44 years,24119
Female-Less than 20 years,8440
"Black or African American, non-Hispanic",681
"American Indian or Alaska Native, non-Hispanic",1035
"Asian or Pacific Islander, non-Hispanic",1041
Other Race,14957
"White, non-Hispanic",27809
Unknown,30255
Hispanic or Latino,60329
