Category,Cochise
Total_doses_administered,129296
Total_people_one_dose,70738
Total_people_complete,62182
total_pouluation,70738
Male-65 years and older,10370
Male-55-64 years,5033
Male-45-54 years,3881
Male-20-44 years,10509
Male-Less than 20 years,3336
Female-65 years and older,12392
Female-55-64 years,6148
Female-45-54 years,4404
Female-20-44 years,11067
Female-Less than 20 years,3504
"American Indian or Alaska Native, non-Hispanic",305
"Asian or Pacific Islander, non-Hispanic",1327
"Black or African American, non-Hispanic",1351
Unknown,9406
Other Race,11473
Hispanic or Latino,17640
"White, non-Hispanic",29236
