Category,Santa Cruz
Total_doses_administered,84531
Total_people_one_dose,45747
Total_people_complete,41258
total_pouluation,45747
Male-65 years and older,4362
Male-55-64 years,3025
Male-45-54 years,3125
Male-20-44 years,8417
Male-Less than 20 years,3218
Female-65 years and older,5258
Female-55-64 years,3271
Female-45-54 years,3323
Female-20-44 years,8367
Female-Less than 20 years,3327
"Black or African American, non-Hispanic",46
"American Indian or Alaska Native, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",167
Unknown,2851
Other Race,3119
"White, non-Hispanic",6684
Hispanic or Latino,32833
