Category,Apache
Total_doses_administered,37091
Total_people_one_dose,20691
Total_people_complete,12904
total_pouluation,20691
Male-65 years and older,2177
Male-55-64 years,1483
Male-45-54 years,1135
Male-20-44 years,2687
Male-Less than 20 years,2687
Female-65 years and older,2543
Female-55-64 years,1572
Female-45-54 years,1133
Female-20-44 years,2508
Female-Less than 20 years,2758
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",109
Hispanic or Latino,474
Other Race,1235
Unknown,1353
"White, non-Hispanic",3203
"American Indian or Alaska Native, non-Hispanic",14270
