Category,Maricopa
Total_doses_administered,4770915
Total_people_one_dose,2452528
Total_people_complete,2166270
total_pouluation,2452528
Male-65 years and older,272829
Male-55-64 years,180367
Male-45-54 years,173803
Male-20-44 years,410448
Male-Less than 20 years,110517
Female-65 years and older,342145
Female-55-64 years,203795
Female-45-54 years,189376
Female-20-44 years,440113
Female-Less than 20 years,114736
"American Indian or Alaska Native, non-Hispanic",45041
"Black or African American, non-Hispanic",88665
"Asian or Pacific Islander, non-Hispanic",117145
Unknown,187950
Hispanic or Latino,394558
Other Race,447113
"White, non-Hispanic",1172056
