Category,Graham
Total_doses_administered,19705
Total_people_one_dose,10736
Total_people_complete,9956
Total_doses_ordered,18520
total_pouluation,38476
Male-65 years and older,1600
Male-55-64 years,936
Male-45-54 years,790
Male-20-44 years,1832
Male-Less than 20 years,182
Female-65 years and older,2009
Female-55-64 years,1057
Female-45-54 years,704
Female-20-44 years,1382
Female-Less than 20 years,234
"Asian or Pacific Islander, non-Hispanic",0.0049366616989568
"Black or African American, non-Hispanic",0.0056818181818182
"American Indian or Alaska Native, non-Hispanic",0.076844262295082
Other Race,0.0792660208643815
Hispanic or Latino,0.1630961251862891
Unknown,0.3327123695976155
"White, non-Hispanic",0.3374627421758569
