Category,Santa Cruz
Total_doses_administered,115876
Total_people_one_dose,58887
Total_people_complete,45196
total_pouluation,58887
Male-65 years and older,4856
Male-55-64 years,3388
Male-45-54 years,3547
Male-20-44 years,9358
Male-Less than 20 years,7034
Female-65 years and older,5863
Female-55-64 years,3730
Female-45-54 years,3856
Female-20-44 years,9820
Female-Less than 20 years,7347
"American Indian or Alaska Native, non-Hispanic",57
"Black or African American, non-Hispanic",61
"Asian or Pacific Islander, non-Hispanic",190
Other Race,3607
Unknown,4180
"White, non-Hispanic",7806
Hispanic or Latino,42986
