Category,Arizona
Total_doses_administered,10096101
Total_people_complete,3990879
total_pouluation,7189020
Total_people_one_dose,4778973
Male-65 years and older,580020
Male-55-64 years,336933
Male-45-54 years,304202
Male-20-44 years,759002
Male-Less than 20 years,281966
Female-65 years and older,704836
Female-55-64 years,382883
Female-45-54 years,327300
Female-20-44 years,793525
Female-Less than 20 years,288425
"Black or African American, non-Hispanic",145585
"Asian or Pacific Islander, non-Hispanic",183271
"American Indian or Alaska Native, non-Hispanic",206867
Unknown,432662
Other Race,679337
Hispanic or Latino,901829
"White, non-Hispanic",2229422
