Category,Coconino
Total_doses_administered,213800
Total_people_one_dose,96948
Total_people_complete,82700
total_pouluation,96948
Male-65 years and older,9568
Male-55-64 years,6458
Male-45-54 years,5911
Male-20-44 years,17577
Male-Less than 20 years,6505
Female-65 years and older,10759
Female-55-64 years,7239
Female-45-54 years,5958
Female-20-44 years,19962
Female-Less than 20 years,6740
"Black or African American, non-Hispanic",806
"Asian or Pacific Islander, non-Hispanic",1733
Hispanic or Latino,7539
Other Race,8849
Unknown,12427
"American Indian or Alaska Native, non-Hispanic",23198
"White, non-Hispanic",42396
