Category,Apache
Total_doses_administered,64156
Total_people_one_dose,30487
Total_people_complete,23107
total_pouluation,30487
Male-65 years and older,2855
Male-55-64 years,2083
Male-45-54 years,1678
Male-20-44 years,4022
Male-Less than 20 years,4264
Female-65 years and older,3424
Female-55-64 years,2233
Female-45-54 years,1654
Female-20-44 years,3912
Female-Less than 20 years,4352
"Black or African American, non-Hispanic",60
"Asian or Pacific Islander, non-Hispanic",138
Hispanic or Latino,596
Other Race,1173
Unknown,1177
"White, non-Hispanic",3699
"American Indian or Alaska Native, non-Hispanic",23644
