Category,Yavapai
Total_doses_administered,256398
Total_people_one_dose,120001
Total_people_complete,100535
total_pouluation,120001
Male-65 years and older,26476
Male-55-64 years,9365
Male-45-54 years,5170
Male-20-44 years,10539
Male-Less than 20 years,3070
Female-65 years and older,32173
Female-55-64 years,11794
Female-45-54 years,6137
Female-20-44 years,10782
Female-Less than 20 years,3350
"Black or African American, non-Hispanic",596
"American Indian or Alaska Native, non-Hispanic",1464
"Asian or Pacific Islander, non-Hispanic",1492
Hispanic or Latino,8451
Other Race,17615
Unknown,18565
"White, non-Hispanic",71818
