Category,Graham
Total_doses_administered,46361
Total_people_one_dose,21721
Total_people_complete,18897
total_pouluation,21721
Male-65 years and older,2436
Male-55-64 years,1607
Male-45-54 years,1465
Male-20-44 years,3655
Male-Less than 20 years,1303
Female-65 years and older,2944
Female-55-64 years,1745
Female-45-54 years,1431
Female-20-44 years,3706
Female-Less than 20 years,1417
"Asian or Pacific Islander, non-Hispanic",88
"Black or African American, non-Hispanic",97
Other Race,1316
Hispanic or Latino,3933
Unknown,4146
"American Indian or Alaska Native, non-Hispanic",5504
"White, non-Hispanic",6637
