Category,Greenlee
Total_doses_administered,9788
Total_people_one_dose,4439
Total_people_complete,3849
total_pouluation,4439
Male-65 years and older,518
Male-55-64 years,376
Male-45-54 years,331
Male-20-44 years,800
Male-Less than 20 years,232
Female-65 years and older,520
Female-55-64 years,319
Female-45-54 years,329
Female-20-44 years,770
Female-Less than 20 years,242
"Asian or Pacific Islander, non-Hispanic",45
"Black or African American, non-Hispanic",53
Other Race,96
"American Indian or Alaska Native, non-Hispanic",125
Unknown,311
"White, non-Hispanic",1802
Hispanic or Latino,2007
