Category,Cochise
Total_doses_administered,172664
Total_people_one_dose,84003
Total_people_complete,68255
total_pouluation,84003
Male-65 years and older,11512
Male-55-64 years,5693
Male-45-54 years,4485
Male-20-44 years,11992
Male-Less than 20 years,5946
Female-65 years and older,13481
Female-55-64 years,6734
Female-45-54 years,5038
Female-20-44 years,12717
Female-Less than 20 years,6304
"American Indian or Alaska Native, non-Hispanic",374
"Asian or Pacific Islander, non-Hispanic",1522
"Black or African American, non-Hispanic",1632
Unknown,10064
Other Race,12158
Hispanic or Latino,24427
"White, non-Hispanic",33826
