Category,Navajo
Total_doses_administered,104247
Total_people_one_dose,50568
Total_people_complete,41225
total_pouluation,50568
Male-65 years and older,7487
Male-55-64 years,3645
Male-45-54 years,2781
Male-20-44 years,6024
Male-Less than 20 years,4584
Female-65 years and older,8420
Female-55-64 years,4176
Female-45-54 years,2787
Female-20-44 years,5912
Female-Less than 20 years,4714
"Black or African American, non-Hispanic",209
"Asian or Pacific Islander, non-Hispanic",374
Unknown,2431
Hispanic or Latino,2614
Other Race,6402
"White, non-Hispanic",16359
"American Indian or Alaska Native, non-Hispanic",22179
