,ARIZONA,STATE_PODS,APACHE,COCHISE,COCONINO,GILA,GRAHAM,GREENLEE,LA_PAZ,MARICOPA,MOHAVE,NAVAJO,PIMA,PINAL,SANTA_CRUZ,YAVAPAI,YUMA
Total_doses_administered,,1405099,15651,82526,117631,38408,14845,7808,14371,1779975,103502,42176,654900,203740,41533,150832,132676
Total_people_one_dose,2867481,803742,9050,49917,66250,22453,8901,4443,8340,1093477,64805,25471,391523,123942,25340,89199,80628
Total_people_complete,2162197,,,,,,,,,,,,,,,,
Total_doses_ordered,4643380,,,,,,,,,,,,,,,,
65 years and older,571449,,,,,,,,,,,,,,,,
55-64 years,285790,,,,,,,,,,,,,,,,
45-54 years,209176,,,,,,,,,,,,,,,,
20-44 years,438621,,,,,,,,,,,,,,,,
Less than 20 years,48104,,,,,,,,,,,,,,,,
65 years and older,25471,,,,,,,,,,,,,,,,
55-64 years,237069,,,,,,,,,,,,,,,,
45-54 years,180273,,,,,,,,,,,,,,,,
20-44 years,387270,,,,,,,,,,,,,,,,
Less than 20 years,41183,,,,,,,,,,,,,,,,
"Black or African American, non-Hispanic",63745,,,,,,,,,,,,,,,,
"American Indian or Alaska Native, non-Hispanic",67420,,,,,,,,,,,,,,,,
"Asian or Pacific Islander, non-Hispanic",105300,,,,,,,,,,,,,,,,
Hispanic or Latino,362322,,,,,,,,,,,,,,,,
Unknown,390454,,,,,,,,,,,,,,,,
Other Race,491576,,,,,,,,,,,,,,,,
"White, non-Hispanic",1386664,,,,,,,,,,,,,,,,
