Category,Cochise
Total_doses_administered,120560
Total_people_one_dose,67888
Total_people_complete,59437
Total_doses_ordered,89070
total_pouluation,130808
Male-65 years and older,10729
Male-55-64 years,5174
Male-45-54 years,3775
Male-20-44 years,9707
Male-Less than 20 years,2659
Female-65 years and older,12694
Female-55-64 years,6254
Female-45-54 years,4342
Female-20-44 years,9744
Female-Less than 20 years,2718
"American Indian or Alaska Native, non-Hispanic",321
"Black or African American, non-Hispanic",1261
"Asian or Pacific Islander, non-Hispanic",1303
Unknown,9104
Other Race,10321
Hispanic or Latino,16485
"White, non-Hispanic",29093
