Category,Gila
Total_doses_administered,52350
Total_people_one_dose,29228
Total_people_complete,25725
Total_doses_ordered,36740
total_pouluation,55159
Male-65 years and older,5891
Male-55-64 years,2642
Male-45-54 years,1629
Male-20-44 years,3176
Male-Less than 20 years,738
Female-65 years and older,6241
Female-55-64 years,2934
Female-45-54 years,1719
Female-20-44 years,3306
Female-Less than 20 years,890
"Black or African American, non-Hispanic",97
"Asian or Pacific Islander, non-Hispanic",259
Hispanic or Latino,1329
Other Race,4853
Unknown,5451
"American Indian or Alaska Native, non-Hispanic",5840
"White, non-Hispanic",11399
