Category,Navajo
Total_doses_administered,76353
Total_people_one_dose,43009
Total_people_complete,36614
Total_doses_ordered,41410
total_pouluation,112825
Male-65 years and older,6870
Male-55-64 years,3567
Male-45-54 years,2507
Male-20-44 years,5285
Male-Less than 20 years,3037
Female-65 years and older,7557
Female-55-64 years,3817
Female-45-54 years,2534
Female-20-44 years,4644
Female-Less than 20 years,3157
"Black or African American, non-Hispanic",222
"Asian or Pacific Islander, non-Hispanic",413
Unknown,2185
Hispanic or Latino,2231
Other Race,8245
"White, non-Hispanic",14318
"American Indian or Alaska Native, non-Hispanic",15395
