Category,Greenlee
Total_doses_administered,8717
Total_people_one_dose,5028
Total_people_complete,4283
Total_doses_ordered,10040
total_pouluation,10375
Male-65 years and older,555
Male-55-64 years,607
Male-45-54 years,505
Male-20-44 years,1059
Male-Less than 20 years,93
Female-65 years and older,529
Female-55-64 years,421
Female-45-54 years,380
Female-20-44 years,792
Female-Less than 20 years,84
"Black or African American, non-Hispanic",47
"Asian or Pacific Islander, non-Hispanic",50
"American Indian or Alaska Native, non-Hispanic",91
Other Race,140
Unknown,442
"White, non-Hispanic",2066
Hispanic or Latino,2192
