Category,Yavapai
Total_doses_administered,189843
Total_people_one_dose,108922
Total_people_complete,91137
Total_doses_ordered,168620
total_pouluation,232386
Male-65 years and older,23976
Male-55-64 years,8510
Male-45-54 years,4947
Male-20-44 years,9609
Male-Less than 20 years,1986
Female-65 years and older,29932
Female-55-64 years,10886
Female-45-54 years,5767
Female-20-44 years,9771
Female-Less than 20 years,2227
"Black or African American, non-Hispanic",571
"American Indian or Alaska Native, non-Hispanic",1082
"Asian or Pacific Islander, non-Hispanic",1420
Hispanic or Latino,6788
Other Race,16679
Unknown,27397
"White, non-Hispanic",54985
