Category,Maricopa
Total_doses_administered,3032716
Total_people_one_dose,1734353
Total_people_complete,1491326
Total_doses_ordered,1598808
total_pouluation,4367835
Male-65 years and older,181059
Male-55-64 years,127050
Male-45-54 years,125885
Male-20-44 years,290963
Male-Less than 20 years,79014
Female-65 years and older,234665
Female-55-64 years,146502
Female-45-54 years,139796
Female-20-44 years,315973
Female-Less than 20 years,81649
"American Indian or Alaska Native, non-Hispanic",36557
"Black or African American, non-Hispanic",66698
"Asian or Pacific Islander, non-Hispanic",81154
Unknown,171380
Other Race,265997
Hispanic or Latino,314937
"White, non-Hispanic",797630
