Category,Santa Cruz
Total_doses_administered,69478
Total_people_one_dose,38921
Total_people_complete,34907
Total_doses_ordered,49212
total_pouluation,53161
Male-65 years and older,3600
Male-55-64 years,2623
Male-45-54 years,3030
Male-20-44 years,7629
Male-Less than 20 years,2491
Female-65 years and older,4363
Female-55-64 years,2665
Female-45-54 years,2894
Female-20-44 years,7036
Female-Less than 20 years,2521
"American Indian or Alaska Native, non-Hispanic",17
"Black or African American, non-Hispanic",34
"Asian or Pacific Islander, non-Hispanic",98
Other Race,2030
Unknown,2346
"White, non-Hispanic",4802
Hispanic or Latino,29594
