Category,Arizona
Total_doses_administered,7177460
Total_people_complete,3468678
Total_doses_ordered,5275110
total_pouluation,7189020
Total_people_one_dose,3947963
Male-65 years and older,518351
Male-55-64 years,298418
Male-45-54 years,259429
Male-20-44 years,611913
Male-Less than 20 years,158814
Female-65 years and older,639294
Female-55-64 years,343596
Female-45-54 years,284601
Female-20-44 years,646625
Female-Less than 20 years,167473
"Black or African American, non-Hispanic",107282
"American Indian or Alaska Native, non-Hispanic",116441
"Asian or Pacific Islander, non-Hispanic",148806
Unknown,427148
Other Race,665911
Hispanic or Latino,661696
"White, non-Hispanic",1820679
