Category,Mohave
Total_doses_administered,155581
Total_people_one_dose,89535
Total_people_complete,73769
Total_doses_ordered,128270
total_pouluation,216985
Male-65 years and older,21593
Male-55-64 years,8452
Male-45-54 years,4331
Male-20-44 years,7211
Male-Less than 20 years,1236
Female-65 years and older,24067
Female-55-64 years,9835
Female-45-54 years,4598
Female-20-44 years,6678
Female-Less than 20 years,1377
"Black or African American, non-Hispanic",617
"American Indian or Alaska Native, non-Hispanic",918
"Asian or Pacific Islander, non-Hispanic",1291
Hispanic or Latino,6309
Unknown,15188
Other Race,15932
"White, non-Hispanic",49280
