Category,Coconino
Total_doses_administered,153951
Total_people_one_dose,84434
Total_people_complete,75760
Total_doses_ordered,97548
total_pouluation,147275
Male-65 years and older,7887
Male-55-64 years,6114
Male-45-54 years,5532
Male-20-44 years,16812
Male-Less than 20 years,3309
Female-65 years and older,8974
Female-55-64 years,6825
Female-45-54 years,5638
Female-20-44 years,19261
Female-Less than 20 years,3996
"Black or African American, non-Hispanic",629
"Asian or Pacific Islander, non-Hispanic",1281
Hispanic or Latino,6094
Other Race,9791
Unknown,17035
"American Indian or Alaska Native, non-Hispanic",17670
"White, non-Hispanic",31934
