Category,Yuma
Total_doses_administered,222489
Total_people_one_dose,125756
Total_people_complete,106182
Total_doses_ordered,149958
total_pouluation,229957
Male-65 years and older,16131
Male-55-64 years,9057
Male-45-54 years,8029
Male-20-44 years,23595
Male-Less than 20 years,5828
Female-65 years and older,18233
Female-55-64 years,9513
Female-45-54 years,8270
Female-20-44 years,20485
Female-Less than 20 years,6209
"Black or African American, non-Hispanic",729
"Asian or Pacific Islander, non-Hispanic",760
"American Indian or Alaska Native, non-Hispanic",1644
Other Race,11164
"White, non-Hispanic",22559
Unknown,33896
Hispanic or Latino,55004
