Category,Apache
Total_doses_administered,34036
Total_people_one_dose,19058
Total_people_complete,12623
Total_doses_ordered,16800
total_pouluation,71808
Male-65 years and older,1984
Male-55-64 years,1323
Male-45-54 years,1050
Male-20-44 years,2564
Male-Less than 20 years,2549
Female-65 years and older,2089
Female-55-64 years,1451
Female-45-54 years,1054
Female-20-44 years,2350
Female-Less than 20 years,2634
"Asian or Pacific Islander, non-Hispanic",171
"Black or African American, non-Hispanic",291
Unknown,1038
Other Race,1295
Hispanic or Latino,1896
"White, non-Hispanic",3330
"American Indian or Alaska Native, non-Hispanic",11037
