Category,Arizona
Total_doses_administered,7438314
Total_people_complete,3580077
Total_doses_ordered,5346480
total_pouluation,7189020
Total_people_one_dose,4063821
Male-65 years and older,525848
Male-55-64 years,303889
Male-45-54 years,267248
Male-20-44 years,637932
Male-Less than 20 years,169680
Female-65 years and older,648131
Female-55-64 years,349427
Female-45-54 years,291928
Female-20-44 years,672282
Female-Less than 20 years,177895
"Black or African American, non-Hispanic",111946
"American Indian or Alaska Native, non-Hispanic",120807
"Asian or Pacific Islander, non-Hispanic",151559
Unknown,437015
Other Race,683696
Hispanic or Latino,694738
"White, non-Hispanic",1864060
