Category,Santa Cruz
Total_doses_administered,72194
Total_people_one_dose,40298
Total_people_complete,36067
Total_doses_ordered,49312
total_pouluation,53161
Male-65 years and older,3644
Male-55-64 years,2665
Male-45-54 years,3112
Male-20-44 years,7981
Male-Less than 20 years,2685
Female-65 years and older,4417
Female-55-64 years,2696
Female-45-54 years,2959
Female-20-44 years,7369
Female-Less than 20 years,2700
"American Indian or Alaska Native, non-Hispanic",19
"Black or African American, non-Hispanic",35
"Asian or Pacific Islander, non-Hispanic",99
Other Race,2059
Unknown,2364
"White, non-Hispanic",4887
Hispanic or Latino,30835
