Category,Pinal
Total_doses_administered,326893
Total_people_one_dose,187037
Total_people_complete,165298
Total_doses_ordered,199932
total_pouluation,455210
Male-65 years and older,30284
Male-55-64 years,14148
Male-45-54 years,13291
Male-20-44 years,31692
Male-Less than 20 years,6268
Female-65 years and older,34732
Female-55-64 years,15031
Female-45-54 years,11898
Female-20-44 years,22920
Female-Less than 20 years,6179
"Asian or Pacific Islander, non-Hispanic",3345
"Black or African American, non-Hispanic",5400
"American Indian or Alaska Native, non-Hispanic",8974
Other Race,20114
Hispanic or Latino,29908
Unknown,37854
"White, non-Hispanic",81442
