Category,Gila
Total_doses_administered,54726
Total_people_one_dose,29906
Total_people_complete,26435
Total_doses_ordered,37560
total_pouluation,55159
Male-65 years and older,5957
Male-55-64 years,2667
Male-45-54 years,1664
Male-20-44 years,3322
Male-Less than 20 years,799
Female-65 years and older,6318
Female-55-64 years,2981
Female-45-54 years,1751
Female-20-44 years,3443
Female-Less than 20 years,942
"Black or African American, non-Hispanic",100
"Asian or Pacific Islander, non-Hispanic",261
Hispanic or Latino,1375
Other Race,4969
Unknown,5494
"American Indian or Alaska Native, non-Hispanic",6096
"White, non-Hispanic",11611
