Category,Coconino
Total_doses_administered,144499
Total_people_one_dose,78663
Total_people_complete,71785
Total_doses_ordered,95930
total_pouluation,147275
Male-65 years and older,7484
Male-55-64 years,5835
Male-45-54 years,5169
Male-20-44 years,15518
Male-Less than 20 years,2598
Female-65 years and older,8577
Female-55-64 years,6581
Female-45-54 years,5392
Female-20-44 years,18056
Female-Less than 20 years,3378
"Black or African American, non-Hispanic",551
"Asian or Pacific Islander, non-Hispanic",1163
Hispanic or Latino,5242
Other Race,9171
"American Indian or Alaska Native, non-Hispanic",16177
Unknown,16538
"White, non-Hispanic",29821
