Category,Navajo
Total_doses_administered,62083
Total_people_one_dose,34662
Total_people_complete,30343
Total_doses_ordered,40790
total_pouluation,112825
Male-65 years and older,6132
Male-55-64 years,2801
Male-45-54 years,1916
Male-20-44 years,3888
Male-Less than 20 years,2461
Female-65 years and older,6597
Female-55-64 years,3089
Female-45-54 years,1954
Female-20-44 years,3222
Female-Less than 20 years,2570
"Black or African American, non-Hispanic",194
"Asian or Pacific Islander, non-Hispanic",353
Unknown,1826
Hispanic or Latino,1957
Other Race,7535
"American Indian or Alaska Native, non-Hispanic",9517
"White, non-Hispanic",13280
